"meetup_id";"meetup_slug";"meetup_name";"meetup_link";"country_id";"meetup_members";"meetup_date_created";"meetup_lat";"meetup_lon";"meetup_tz";"meetup_active"
"18496871";"WordPressDownstate";"WordPress Downstate";"https://www.meetup.com/wordpressdownstate";"us";"394";"2015-03-12";"40.11";"-88.25";"America/Chicago";"1"
"18518613";"WordPress-033";"Amersfoort WordPress Meetup #WPM033";"https://www.meetup.com/wordpress-033";"nl";"203";"2015-03-24";"52.16";"5.38";"Europe/Brussels";"1"
"18526184";"5af704d0-8f02-46fa-a052-cdc804707cdf";"NY Southern Tier WordPress Meetup";"https://www.meetup.com/5af704d0-8f02-46fa-a052-cdc804707cdf";"us";"26";"2015-03-30";"42.45";"-78.09";"America/New_York";"0"
"18533249";"65990d2d-3c41-450b-b70c-4738e5be9c1e";"Gauteng WordPress Network";"https://www.meetup.com/65990d2d-3c41-450b-b70c-4738e5be9c1e";"za";"756";"2015-04-04";"-26";"28.13";"Africa/Johannesburg";"0"
"18537568";"Huntsville-WordPress-Meetup";"Huntsville WordPress Meetup";"https://www.meetup.com/huntsville-wordpress-meetup";"us";"488";"2015-04-07";"34.73";"-86.57";"America/Chicago";"1"
"18540535";"wpmeetup-stuttgart";"WordPress Meetup Stuttgart";"https://www.meetup.com/wpmeetup-stuttgart";"de";"1209";"2015-04-09";"48.79";"9.19";"Europe/Berlin";"1"
"18556372";"WordPress-Singapore";"WordPress Singapore";"https://www.meetup.com/wordpress-singapore";"sg";"2662";"2015-04-20";"1.3";"103.85";"Asia/Kuala_Lumpur";"1"
"18559246";"WordPress-Cape-Town";"WordPress Cape Town";"https://www.meetup.com/wordpress-cape-town";"za";"2362";"2015-04-22";"-33.93";"18.46";"Africa/Johannesburg";"1"
"18560527";"16ada4e3-c1f4-488c-b5a0-8614d628b274";"WordPress Córdoba";"https://www.meetup.com/16ada4e3-c1f4-488c-b5a0-8614d628b274";"ar";"569";"2015-04-23";"-31.4";"-64.19";"America/Argentina/Cordoba";"0"
"18567920";"wpkyiv";"WordPress Kyiv";"https://www.meetup.com/wpkyiv";"ua";"1929";"2015-04-28";"50.44";"30.52";"Europe/Kiev";"1"
"18592203";"Colombo-WordPress-Meetup";"Colombo WordPress Meetup";"https://www.meetup.com/colombo-wordpress-meetup";"lk";"2190";"2015-05-12";"6.93";"79.85";"Asia/Colombo";"1"
"18597700";"Barletta-WordPress-Meetup";"Barletta WordPress Meetup";"https://www.meetup.com/barletta-wordpress-meetup";"it";"192";"2015-05-14";"41.32";"16.28";"Europe/Rome";"1"
"18606326";"wordpress-meetup-cesena";"WordPress Meetup Cesena";"https://www.meetup.com/wordpress-meetup-cesena";"it";"529";"2015-05-18";"44.14";"12.24";"Europe/Rome";"1"
"18609997";"Santiago-WordPress-Meetup";"Santiago WordPress Meetup";"https://www.meetup.com/santiago-wordpress-meetup";"cl";"1303";"2015-05-19";"-33.46";"-70.64";"America/Santiago";"1"
"18615179";"wordpresstoledo";"WordPress Toledo";"https://www.meetup.com/wordpresstoledo";"us";"431";"2015-05-21";"41.7";"-83.6";"America/New_York";"1"
"18615851";"wordpress-meetup-torino";"WordPress Meetup Torino";"https://www.meetup.com/wordpress-meetup-torino";"it";"1697";"2015-05-21";"45.05";"7.67";"Europe/Rome";"1"
"18627370";"wpperu-lima";"WordPress Perú - Lima";"https://www.meetup.com/wpperu-lima";"pe";"2301";"2015-05-26";"-12.07";"-77.05";"America/Lima";"1"
"18635703";"434e2424-1307-4513-86af-c60cd992e04a";"Brattleboro WordPress Meetup";"https://www.meetup.com/434e2424-1307-4513-86af-c60cd992e04a";"us";"155";"2015-05-30";"42.84";"-72.69";"America/New_York";"0"
"18651618";"WP-Fayetteville";"WordPress Fayetteville Meetup Group";"https://www.meetup.com/wp-fayetteville";"us";"817";"2015-06-05";"36.05";"-94.14";"America/Chicago";"1"
"18667820";"WordPress-Meetup-Karlsruhe";"WordPress Meetup Karlsruhe";"https://www.meetup.com/wordpress-meetup-karlsruhe";"de";"678";"2015-06-12";"49";"8.4";"Europe/Berlin";"1"
"18672542";"south-jersey-wordpress-meetup";"South Jersey WordPress Meetup";"https://www.meetup.com/south-jersey-wordpress-meetup";"us";"389";"2015-06-14";"40.03";"-74.88";"America/New_York";"1"
"18683586";"34781e3c-5424-494e-a8a1-ed239e55f06f";"WordPress Sorocaba Meetup Group";"https://www.meetup.com/34781e3c-5424-494e-a8a1-ed239e55f06f";"br";"361";"2015-06-19";"-23.49";"-47.47";"America/Sao_Paulo";"0"
"18703768";"WordPress-Joburg";"WordPress Jo'burg";"https://www.meetup.com/wordpress-joburg";"za";"1140";"2015-06-27";"-26.19";"28.04";"Africa/Johannesburg";"1"
"18704128";"a12c221b-4f75-4348-b8d5-51553e2df354";"Aveiro WordPress Meetup";"https://www.meetup.com/a12c221b-4f75-4348-b8d5-51553e2df354";"pt";"328";"2015-06-28";"40.65";"-8.66";"Europe/Lisbon";"0"
"18707185";"WordPress-Meetup-Chiclana";"WordPress Meetup Chiclana";"https://www.meetup.com/wordpress-meetup-chiclana";"es";"518";"2015-06-29";"36.42";"-6.15";"Europe/Madrid";"1"
"18709654";"WordPress-Meetup-Bologna";"WordPress Meetup Bologna";"https://www.meetup.com/wordpress-meetup-bologna";"it";"798";"2015-06-30";"44.49";"11.34";"Europe/Rome";"1"
"18715870";"WordPressLatvia";"WordPress Latvia";"https://www.meetup.com/wordpresslatvia";"lv";"456";"2015-07-02";"56.97";"24.13";"Europe/Riga";"1"
"18725324";"Accra-WordPress-Meetup";"Accra WordPress Meetup";"https://www.meetup.com/accra-wordpress-meetup";"gh";"2116";"2015-07-07";"5.56";"-0.2";"Africa/Abidjan";"1"
"18725278";"sialkot-wordpress-club";"Sialkot WordPress Club";"https://www.meetup.com/sialkot-wordpress-club";"pk";"665";"2015-07-07";"32.52";"74.55";"Asia/Karachi";"1"
"18724423";"wordpress-meetup-brescia";"WordPress Meetup Brescia";"https://www.meetup.com/wordpress-meetup-brescia";"it";"879";"2015-07-07";"45.55";"10.25";"Europe/Rome";"1"
"18728210";"Southern-Utah-WordPress-Meetup";"Southern Utah WordPress Meetup";"https://www.meetup.com/southern-utah-wordpress-meetup";"us";"261";"2015-07-08";"37.08";"-113.59";"America/Denver";"1"
"18730624";"Athens-WordPress-Meetup";"Athens WordPress Meetup";"https://www.meetup.com/athens-wordpress-meetup";"gr";"1537";"2015-07-09";"37.98";"23.73";"Europe/Athens";"1"
"18730875";"e49d6483-7153-40e2-b916-c59daf145385";"The Muskoka WordPress Group";"https://www.meetup.com/e49d6483-7153-40e2-b916-c59daf145385";"ca";"55";"2015-07-09";"45.04";"-79.31";"America/Toronto";"0"
"18739756";"Bournemouth-WordPress-Group";"WordPress Bournemouth";"https://www.meetup.com/bournemouth-wordpress-group";"gb";"587";"2015-07-13";"50.73";"-1.88";"Europe/London";"1"
"18746275";"Lusaka-WordPress-Meetup";"Lusaka WordPress Meetup";"https://www.meetup.com/lusaka-wordpress-meetup";"zm";"646";"2015-07-16";"-15.41";"28.29";"Africa/Maputo";"1"
"18751401";"22aecbd7-b52c-4a0e-9139-bd05081016a2";"WordPress Paraíba";"https://www.meetup.com/22aecbd7-b52c-4a0e-9139-bd05081016a2";"br";"233";"2015-07-19";"-7.12";"-34.86";"America/Fortaleza";"0"
"18758239";"Zwolle-WordPress-Meetup";"WordPress Meetup Zwolle";"https://www.meetup.com/zwolle-wordpress-meetup";"nl";"956";"2015-07-21";"52.52";"6.09";"Europe/Brussels";"1"
"18761096";"wordpress-meetup-genova";"WordPress Meetup Genova";"https://www.meetup.com/wordpress-meetup-genova";"it";"523";"2015-07-22";"44.42";"8.95";"Europe/Rome";"1"
"18771868";"wordpress-alicante";"WordPress Alicante";"https://www.meetup.com/wordpress-alicante";"es";"1465";"2015-07-26";"38.35";"-0.48";"Europe/Madrid";"1"
"18776022";"wphelsinki";"WordPress Helsinki";"https://www.meetup.com/wphelsinki";"fi";"1599";"2015-07-27";"60.17";"24.94";"Europe/Helsinki";"1"
"18780172";"a2cd5f9f-7f4a-4532-b222-e53cfbcda5f8";"Macon WordPress Meetup";"https://www.meetup.com/a2cd5f9f-7f4a-4532-b222-e53cfbcda5f8";"us";"200";"2015-07-28";"32.83";"-83.63";"America/New_York";"0"
"18783603";"wordpress-new-delhi";"WordPress Delhi NCR Meetup Group";"https://www.meetup.com/wordpress-new-delhi";"in";"8647";"2015-07-29";"28.67";"77.21";"Asia/Kolkata";"1"
"18783556";"WordPress-Halifax";"WordPress Halifax";"https://www.meetup.com/wordpress-halifax";"ca";"1139";"2015-07-29";"44.64";"-63.57";"America/Halifax";"1"
"18785774";"bengaluruwordpress";"Bengaluru WordPress";"https://www.meetup.com/bengaluruwordpress";"in";"3168";"2015-07-30";"12.97";"77.56";"Asia/Kolkata";"1"
"18796227";"Toowoomba-WordPress-Meetup";"Toowoomba WordPress Meetup";"https://www.meetup.com/toowoomba-wordpress-meetup";"au";"222";"2015-08-02";"-27.56";"151.96";"Australia/Brisbane";"1"
"18809924";"WordPress-Istanbul";"WordPress Istanbul";"https://www.meetup.com/wordpress-istanbul";"tr";"1623";"2015-08-07";"41.01";"28.96";"Europe/Istanbul";"1"
"18820215";"larissa-wordpress-meetup";"Larissa WordPress Meetup";"https://www.meetup.com/larissa-wordpress-meetup";"gr";"617";"2015-08-10";"39.64";"22.42";"Europe/Athens";"1"
"18827401";"BakoWP";"Bakersfield WordPress";"https://www.meetup.com/bakowp";"us";"861";"2015-08-12";"35.38";"-119.01";"America/Los_Angeles";"1"
"18828960";"Olympia-WordPress-Meetup-OlyWP";"Olympia WordPress Meetup (OlyWP)";"https://www.meetup.com/olympia-wordpress-meetup-olywp";"us";"536";"2015-08-13";"46.99";"-122.87";"America/Los_Angeles";"1"
"18833192";"wordpress-meetup-lecce";"WordPress Meetup Lecce";"https://www.meetup.com/wordpress-meetup-lecce";"it";"352";"2015-08-14";"40.35";"18.17";"Europe/Rome";"1"
"18853376";"WordPressMedellin";"WordPress Medellín";"https://www.meetup.com/wordpressmedellin";"co";"2629";"2015-08-21";"6.25";"-75.59";"America/Bogota";"1"
"18857660";"wordup";"WordUp Warszawa";"https://www.meetup.com/wordup";"pl";"1066";"2015-08-22";"52.26";"21.02";"Europe/Warsaw";"1"
"18886670";"wpperu-cusco";"WordPress Perú - Cusco";"https://www.meetup.com/wpperu-cusco";"pe";"411";"2015-08-31";"-13.52";"-71.99";"America/Lima";"1"
"18888955";"Cambodia-WordPress-Community";"Cambodia WordPress Community";"https://www.meetup.com/cambodia-wordpress-community";"kh";"857";"2015-09-01";"11.57";"104.92";"Asia/Bangkok";"1"
"18911298";"bec097c6-3adb-4cbc-91cc-a6bea048013e";"Beckley WordPress Group";"https://www.meetup.com/bec097c6-3adb-4cbc-91cc-a6bea048013e";"us";"181";"2015-09-08";"37.79";"-81.19";"America/New_York";"0"
"18911580";"128578d3-9ab7-4e3a-a572-8f2da9592a20";"Durban WordPress Meetup";"https://www.meetup.com/128578d3-9ab7-4e3a-a572-8f2da9592a20";"za";"908";"2015-09-08";"-29.87";"30.99";"Africa/Johannesburg";"0"
"18914421";"Nashik-WordPress-Meetup";"Nashik WordPress Meetup";"https://www.meetup.com/nashik-wordpress-meetup";"in";"444";"2015-09-09";"20.01";"73.78";"Asia/Kolkata";"1"
"18988994";"wordpress-bhopal";"WordPress Bhopal";"https://www.meetup.com/wordpress-bhopal";"in";"1334";"2015-10-02";"23.24";"77.4";"Asia/Kolkata";"1"
"19005669";"North-Fulton-WordPress-Meetup";"North Fulton WordPress Meetup";"https://www.meetup.com/north-fulton-wordpress-meetup";"us";"453";"2015-10-07";"34.1";"-84.26";"America/New_York";"1"
"19004679";"Arnprior-WordPress-Group";"Arnprior WordPress Group";"https://www.meetup.com/arnprior-wordpress-group";"ca";"49";"2015-10-07";"45.44";"-76.36";"America/Toronto";"1"
"19008782";"5a0d2889-6fb5-4787-9b2c-538573621dc2";"South Okanagan WordPress Meetup";"https://www.meetup.com/5a0d2889-6fb5-4787-9b2c-538573621dc2";"ca";"112";"2015-10-08";"49.17";"-119.55";"America/Vancouver";"0"
"19010313";"Bratislava-WordPress-Community";"Bratislava WordPress Community";"https://www.meetup.com/bratislava-wordpress-community";"sk";"522";"2015-10-09";"48.16";"17.13";"Europe/Prague";"1"
