wordpress_version;wordpress_version_major;wordpress_version_minor;wordpress_date;wordpress_changelog
4.9.8;4.9;8;02/08/2018;https://codex.wordpress.org/Version_4.9.8#List_of_Files_Revised
4.9.9;4.9;9;12/12/2018;https://wordpress.org/support/wordpress-version/version-4-9-9/#list-of-files-revised
4.9.10;4.9;10;13/03/2019;https://wordpress.org/support/wordpress-version/version-4-9-10/#list-of-files-revised
4.9.11;4.9;11;04/09/2019;https://wordpress.org/support/wordpress-version/version-4-9-11/#list-of-files-revised
4.9.12;4.9;12;14/10/2019;https://wordpress.org/support/wordpress-version/version-4-9-12/#list-of-files-revised
4.9.13;4.9;13;12/12/2019;https://wordpress.org/support/wordpress-version/version-4-9-13/#list-of-files-revised
4.9.14;4.9;14;29/04/2020;https://wordpress.org/support/wordpress-version/version-4.9.14/#list-of-files-revised
4.9.15;4.9;15;10/06/2020;https://wordpress.org/support/wordpress-version/version-4-9-15/#list-of-files-revised
4.9.16;4.9;16;29/10/2020;https://wordpress.org/support/wordpress-version/version-4-9-16/#list-of-files-revised
4.9.17;4.9;17;14/04/2021;https://wordpress.org/support/wordpress-version/version-4-9-17/#list-of-files-revised
4.9.18;4.9;18;12/05/2021;https://wordpress.org/support/wordpress-version/version-4-9-18/#list-of-files-revised
4.9.19;4.9;19;06/01/2022;https://wordpress.org/support/wordpress-version/version-4-9-19/#list-of-files-revised
4.9.20;4.9;20;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-4-9-20/
4.9.21;4.9;21;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-4-9-21/
4.9.22;4.9;22;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-4-9-22/
4.9.23;4.9;23;16/05/2023;
4.9.24;4.9;24;12/10/2023;
4.9.25;4.9;25;30/01/2024;
5.0;5.0;0;06/12/2018;https://codex.wordpress.org/Changelog/5.0
5.0.1;5.0;1;12/12/2018;https://wordpress.org/support/wordpress-version/version-5-0-1/#list-of-files-revised
5.0.2;5.0;2;19/12/2018;https://wordpress.org/support/wordpress-version/version-5-0-2/#list-of-files-revised
5.0.3;5.0;3;09/01/2019;https://wordpress.org/support/wordpress-version/version-5-0-3/#list-of-files-revised
5.0.4;5.0;4;21/05/2019;https://wordpress.org/support/wordpress-version/version-5-0-4/#list-of-files-revised
5.0.6;5.0;6;04/09/2019;https://wordpress.org/support/wordpress-version/version-5-0-6/#list-of-files-revised
5.0.7;5.0;7;14/10/2019;https://wordpress.org/support/wordpress-version/version-5-0-7/#list-of-files-revised
5.0.8;5.0;8;12/12/2019;https://wordpress.org/support/wordpress-version/version-5-0-8/#list-of-files-revised
5.0.9;5.0;9;29/04/2020;https://wordpress.org/support/wordpress-version/version-5-0-9/#list-of-files-revised
5.0.10;5.0;10;10/06/2020;https://wordpress.org/support/wordpress-version/version-5-0-10/#list-of-files-revised
5.0.11;5.0;11;29/10/2020;https://wordpress.org/support/wordpress-version/version-5-0-11/#list-of-files-revised
5.0.12;5.0;12;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-0-12/#list-of-files-revised
5.0.13;5.0;13;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-0-13/#list-of-files-revised
5.0.14;5.0;14;21/09/2021;https://wordpress.org/support/wordpress-version/version-5-0-14/
5.0.15;5.0;15;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-0-15/#list-of-files-revised
5.0.16;5.0;16;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-0-16/
5.0.17;5.0;17;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-0-17
5.0.18;5.0;18;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-0-18/
5.0.19;5.0;19;16/05/2023;
5.0.20;5.0;20;12/10/2023;
5.0.21;5.0;21;30/01/2024;
5.1;5.1;0;21/02/2019;https://codex.wordpress.org/Changelog/5.1
5.1.1;5.1;1;13/03/2019;https://wordpress.org/support/wordpress-version/version-5-1-1/#list-of-files-revised
5.1.2;5.1;2;04/09/2019;https://wordpress.org/support/wordpress-version/version-5-1-2/#list-of-files-revised
5.1.3;5.1;3;14/10/2019;https://wordpress.org/support/wordpress-version/version-5-1-3/#list-of-files-revised
5.1.4;5.1;4;12/12/2019;https://wordpress.org/support/wordpress-version/version-5-1-4/#list-of-files-revised
5.1.5;5.1;5;29/04/2020;https://wordpress.org/support/wordpress-version/version-5-1-5/#list-of-files-revised
5.1.6;5.1;6;10/06/2020;https://wordpress.org/support/wordpress-version/version-5-1-6/#list-of-files-revised
5.1.7;5.1;7;29/10/2020;https://wordpress.org/support/wordpress-version/version-5-1-7/#list-of-files-revised
5.1.8;5.1;8;30/10/2020;https://wordpress.org/support/wordpress-version/version-5-1-8/#list-of-files-revised
5.1.9;5.1;9;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-1-9/#list-of-files-revised
5.1.10;5.1;10;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-1-10/#list-of-files-revised
5.1.11;5.1;11;21/09/2021;https://wordpress.org/support/wordpress-version/version-5-1-11/
5.1.12;5.1;12;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-1-12/#list-of-files-revised
5.1.13;5.1;13;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-1-13/
5.1.14;5.1;14;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-1-14/
5.1.15;5.1;15;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-1-15/
5.1.16;5.1;16;16/05/2023;
5.1.17;5.1;17;12/10/2023;
5.1.18;5.1;18;30/01/2024;
5.2;5.2;0;07/05/2019;https://wordpress.org/support/wordpress-version/version-5-2/#list-of-files-revised
5.2.1;5.2;1;21/05/2019;https://wordpress.org/support/wordpress-version/version-5-2-1/#list-of-files-revised
5.2.2;5.2;2;18/06/2019;https://wordpress.org/support/wordpress-version/version-5-2-2/#list-of-files-revised
5.2.3;5.2;3;04/09/2019;https://wordpress.org/support/wordpress-version/version-5-2-3/#list-of-files-revised
5.2.4;5.2;4;14/10/2019;https://wordpress.org/support/wordpress-version/version-5-2-4/#list-of-files-revised
5.2.5;5.2;5;12/12/2019;https://wordpress.org/support/wordpress-version/version-5-2-4/#list-of-files-revised
5.2.6;5.2;6;29/04/2020;https://wordpress.org/support/wordpress-version/version-5-2-6/#list-of-files-revised
5.2.7;5.2;7;10/06/2020;https://wordpress.org/support/wordpress-version/version-5-2-7/#list-of-files-revised
5.2.8;5.2;8;29/10/2020;https://wordpress.org/support/wordpress-version/version-5-2-8/#list-of-files-revised
5.2.9;5.2;9;30/10/2020;https://wordpress.org/support/wordpress-version/version-5-2-9/#list-of-files-revised
5.2.10;5.2;10;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-2-10/#list-of-files-revised
5.2.11;5.2;11;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-2-11/#list-of-files-revised
5.2.12;5.2;12;09/09/2021;https://wordpress.org/support/wordpress-version/version-5-2-12/#list-of-files-revised
5.2.13;5.2;13;10/11/2021;https://wordpress.org/support/wordpress-version/version-5-2-13/#list-of-files-revised
5.2.14;5.2;14;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-2-14/#list-of-files-revised
5.2.15;5.2;15;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-2-15/
5.2.16;5.2;16;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-2-16/
5.2.17;5.2;17;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-2-17/
5.2.18;5.2;18;16/05/2023;
5.2.19;5.2;19;12/10/2023;
5.2.20;5.2;20;30/01/2024;
5.3;5.3;0;12/11/2019;https://wordpress.org/support/wordpress-version/version-5-3/#list-of-files-revised
5.3.1;5.3;1;12/12/2019;https://wordpress.org/support/wordpress-version/version-5-3-1/#list-of-files-revised
5.3.2;5.3;2;18/12/2019;https://wordpress.org/support/wordpress-version/version-5-3-2/#list-of-files-revised
5.3.3;5.3;3;29/04/2020;https://wordpress.org/support/wordpress-version/version-5-3-3/#list-of-files-revised
5.3.4;5.3;4;10/06/2020;https://wordpress.org/support/wordpress-version/version-5-3-4/#list-of-files-revised
5.3.5;5.3;5;29/10/2020;https://wordpress.org/support/wordpress-version/version-5-3-5/#list-of-files-revised
5.3.6;5.3;6;30/10/2020;https://wordpress.org/support/wordpress-version/version-5-3-6/#list-of-files-revised
5.3.7;5.3;7;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-3-7/#list-of-files-revised
5.3.8;5.3;8;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-3-8/#list-of-files-revised
5.3.9;5.3;9;11/09/2021;https://wordpress.org/support/wordpress-version/version-5-3-9/#list-of-files-revised
5.3.10;5.3;10;10/11/2021;https://wordpress.org/support/wordpress-version/version-5-3-10/#list-of-files-revised
5.3.11;5.3;11;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-3-11/#list-of-files-revised
5.3.12;5.3;12;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-3-12/
5.3.13;5.3;13;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-3-13/
5.3.14;5.3;14;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-3-14/
5.3.15;5.3;15;16/05/2023;
5.3.16;5.3;16;12/10/2023;
5.3.17;5.3;17;30/01/2024;
5.4;5.4;0;31/03/2020;https://wordpress.org/support/wordpress-version/version-5-4/#list-of-files-revised
5.4.1;5.4;1;29/04/2020;https://wordpress.org/support/wordpress-version/version-5-4-1/#list-of-files-revised
5.4.2;5.4;2;10/06/2020;https://wordpress.org/support/wordpress-version/version-5-4-2/#list-of-files-revised
5.4.3;5.4;3;29/10/2020;https://wordpress.org/support/wordpress-version/version-5-4-3/#list-of-files-revised
5.4.4;5.4;4;30/10/2020;https://wordpress.org/support/wordpress-version/version-5-4-4/#list-of-files-revised
5.4.5;5.4;5;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-4-5/#list-of-files-revised
5.4.6;5.4;6;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-4-6/#list-of-files-revised
5.4.7;5.4;7;09/09/2021;https://wordpress.org/support/wordpress-version/version-5-4-7/#list-of-files-revised
5.4.8;5.4;8;10/11/2021;https://wordpress.org/support/wordpress-version/version-5-4-8/#list-of-files-revised
5.4.9;5.4;9;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-4-9/#list-of-files-revised
5.4.10;5.4;10;10/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-4-10/
5.4.11;5.4;11;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-4-11/
5.4.12;5.4;12;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-4-12/
5.4.13;5.4;13;16/05/2023;
5.4.14;5.4;14;12/10/2023;
5.4.15;5.4;15;30/01/2024;
5.5;5.5;0;11/08/2020;https://wordpress.org/support/wordpress-version/version-5-5/#list-of-files-revised
5.5.1;5.5;1;01/09/2020;https://wordpress.org/support/wordpress-version/version-5-5-1/#list-of-files-revised
5.5.2;5.5;2;29/10/2020;https://wordpress.org/support/wordpress-version/version-5-5-2/#list-of-files-revised
5.5.3;5.5;3;30/10/2020;https://wordpress.org/support/wordpress-version/version-5-5-3/#list-of-files-revised
5.5.4;5.5;4;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-5-4/#list-of-files-revised
5.5.5;5.5;5;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-5-5/#list-of-files-revised
5.5.6;5.5;6;09/09/2021;https://wordpress.org/support/wordpress-version/version-5-5-6/#list-of-files-revised
5.5.7;5.5;7;10/11/2021;https://wordpress.org/support/wordpress-version/version-5-5-7/#list-of-files-revised
5.5.8;5.5;8;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-5-8/#list-of-files-revised
5.5.9;5.5;9;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-5-9/
5.5.10;5.5;10;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-5-10/
5.5.11;5.5;11;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-5-11/
5.5.12;5.5;12;16/05/2023;
5.5.13;5.5;13;12/10/2023;
5.5.14;5.5;14;30/01/2024;
5.6;5.6;0;08/12/2020;https://wordpress.org/support/wordpress-version/version-5-6/#list-of-files-revised
5.6.1;5.6;1;03/02/2021;https://wordpress.org/support/wordpress-version/version-5-6-1/#list-of-files-revised
5.6.2;5.6;2;22/02/2021;https://wordpress.org/support/wordpress-version/version-5-6-2/#list-of-files-revised
5.6.3;5.6;3;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-6-3/#list-of-files-revised
5.6.4;5.6;4;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-6-4/#list-of-files-revised
5.6.5;5.6;5;09/09/2021;https://wordpress.org/support/wordpress-version/version-5-6-5/#list-of-files-revised
5.6.6;5.6;6;10/11/2021;https://wordpress.org/support/wordpress-version/version-5-6-6/#list-of-files-revised
5.6.7;5.6;7;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-6-7/#list-of-files-revised
5.6.8;5.6;8;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-6-8/
5.6.9;5.6;9;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-6-9/
5.6.10;5.6;10;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-6-10/
5.6.11;5.6;11;16/05/2023;
5.6.12;5.6;12;12/10/2023;
5.6.13;5.6;13;30/01/2024;
5.7;5.7;0;09/03/2021;https://wordpress.org/support/wordpress-version/version-5-7/#list-of-files-revised
5.7.1;5.7;1;14/04/2021;https://wordpress.org/support/wordpress-version/version-5-7-1/#list-of-files-revised
5.7.2;5.7;2;12/05/2021;https://wordpress.org/support/wordpress-version/version-5-7-2/#list-of-files-revised
5.7.3;5.7;3;09/09/2021;https://wordpress.org/support/wordpress-version/version-5-7-3/#list-of-files-revised
5.7.4;5.7;4;10/11/2021;https://wordpress.org/support/wordpress-version/version-5-7-4/#list-of-files-revised
5.7.5;5.7;5;06/01/2022;https://wordpress.org/support/wordpress-version/version-5-7-5/#list-of-files-revised
5.7.6;5.7;6;11/03/2022;https://wordpress.org/documentation/wordpress-version/version-5-7-6/
5.7.7;5.7;7;30/08/2022;https://wordpress.org/documentation/wordpress-version/version-5-7-7/
5.7.8;5.7;8;17/10/2022;https://wordpress.org/documentation/wordpress-version/version-5-7-8/
5.7.9;5.7;9;16/05/2023;
5.7.10;5.7;10;12/10/2023;
5.7.11;5.7;11;30/01/2024;
5.8;5.8;0;20/07/2021;https://wordpress.org/support/wordpress-version/version-5-8/#list-of-files-revised
5.8.1;5.8;1;09/09/2021;https://wordpress.org/support/wordpress-version/version-5-8-1/#list-of-files-revised
5.8.2;5.8;2;10/11/2021;https://wordpress.org/support/wordpress-version/version-5-8-2/#list-of-files-revised
