plugin_review_date,plugin_review_category,plugin_review_metric,plugin_review_value
2021-03-15,Status,Plugins Closed,26
2021-03-15,Status,Plugins Approved,65
2021-03-15,Queue,Plugins in Queue,746
2021-03-15,Queue,Plugins Older week,653
2021-03-15,Mail,New Conversations,214
2021-03-15,Mail,Resolved,179
2021-03-15,Mail,Resolved First Reply,35%
2021-03-29,Status,Plugins Requested,182
2021-03-29,Status,Plugins Rejected,88
2021-03-29,Status,Plugins Closed,42
2021-03-29,Status,Plugins Approved,95
2021-03-29,Queue,Plugins in Queue,769
2021-03-29,Queue,Plugins Older week,622
2021-03-29,Mail,New Conversations,Unavailable
2021-03-29,Mail,Resolved,Unavailable
2021-03-29,Mail,Resolved First Reply,Unavailable
2021-04-12,Status,Plugins Requested,150
2021-04-12,Status,Plugins Rejected,5
2021-04-12,Status,Plugins Closed,87
2021-04-12,Status,Plugins Approved,64
2021-04-12,Queue,Plugins in Queue,766
2021-04-12,Queue,Plugins Older week,680
2021-04-12,Mail,New Conversations,243
2021-04-12,Mail,Resolved,202
2021-04-12,Mail,Resolved First Reply,29%
2021-04-19,Status,Plugins Requested,150
2021-04-19,Status,Plugins Rejected,12
2021-04-19,Status,Plugins Closed,33
2021-04-19,Status,Plugins Approved,59
2021-04-19,Queue,Plugins in Queue,781
2021-04-19,Queue,Plugins Older week,697
2021-04-19,Mail,New,211
2021-04-19,Mail,Resolved,204
2021-04-19,Mail,Resolved First Reply,23%
2021-04-26,Status,Plugins Requested,158
2021-04-26,Status,Plugins Rejected,98
2021-04-26,Status,Plugins Closed,187
2021-04-26,Status,Plugins Approved,72
2021-04-26,Queue,Plugins in Queue,710
2021-04-26,Queue,Plugins Older week,633
2021-04-26,Mail,New Conversations,413
2021-04-26,Mail,Resolved,238
2021-04-26,Mail,Resolved First Reply,20%
2021-04-19,Status,Plugins Requested,139
2021-04-19,Status,Plugins Rejected,4
2021-04-19,Status,Plugins Closed,23
2021-04-19,Status,Plugins Approved,55
2021-04-19,Queue,Plugins in Queue,759
2021-04-19,Queue,Plugins Older week,651
2021-04-19,Mail,New,199
2021-04-19,Mail,Resolved,203
2021-04-19,Mail,Resolved First Reply,25%
2021-05-03,Status,Plugins Requested,139
2021-05-03,Status,Plugins Rejected,4
2021-05-03,Status,Plugins Closed,23
2021-05-03,Status,Plugins Approved,55
2021-05-03,Queue,Plugins in Queue,759
2021-05-03,Queue,Plugins Older week,651
2021-05-03,Mail,New Conversations,199
2021-05-03,Mail,Resolved,203
2021-05-03,Mail,Resolved First Reply,25%
2021-05-10,Status,Plugins Requested,140
2021-05-10,Status,Plugins Rejected,9
2021-05-10,Status,Plugins Closed,21
2021-05-10,Status,Plugins Approved,63
2021-05-10,Queue,Plugins in Queue,744
2021-05-10,Queue,Plugins Older week,676
2021-05-10,Mail,New Conversations,187
2021-05-10,Mail,Resolved,174
2021-05-10,Mail,Resolved First Reply,22%
2021-05-17,Status,Plugins Requested,143
2021-05-17,Status,Plugins Rejected,5
2021-05-17,Status,Plugins Closed,71
2021-05-17,Status,Plugins Approved,85
2021-05-17,Queue,Plugins in Queue,781
2021-05-17,Queue,Plugins Older week,679
2021-05-17,Mail,New Conversations,238
2021-05-17,Mail,Resolved,180
2021-05-17,Mail,Resolved First Reply,24%
2021-05-24,Status,Plugins Requested,123
2021-05-24,Status,Plugins Rejected,7
2021-05-24,Status,Plugins Closed,33
2021-05-24,Status,Plugins Approved,53
2021-05-24,Queue,Plugins in Queue,785
2021-05-24,Queue,Plugins Older week,714
2021-05-24,Mail,New Conversations,209
2021-05-24,Mail,Resolved,184
2021-05-24,Mail,Resolved First Reply,34%
2021-05-31,Status,Plugins Requested,148
2021-05-31,Status,Plugins Rejected,97
2021-05-31,Status,Plugins Closed,40
2021-05-31,Status,Plugins Approved,60
2021-05-31,Queue,Plugins in Queue,737
2021-05-31,Queue,Plugins Older week,643
2021-05-31,Mail,New Conversations,171
2021-05-31,Mail,Resolved,160
2021-05-31,Mail,Resolved First Reply,26%
2021-06-07,Status,Plugins Requested,124
2021-06-07,Status,Plugins Rejected,4
2021-06-07,Status,Plugins Closed,31
2021-06-07,Status,Plugins Approved,37
2021-06-07,Queue,Plugins in Queue,760
2021-06-07,Queue,Plugins Older week,673
2021-06-07,Mail,New Conversations,214
2021-06-07,Mail,Resolved,176
2021-06-07,Mail,Resolved First Reply,32%
2021-06-14,Status,Plugins Requested,137
2021-06-14,Status,Plugins Rejected,5
2021-06-14,Status,Plugins Closed,68
2021-06-14,Status,Plugins Approved,38
2021-06-14,Queue,Plugins in Queue,797
2021-06-14,Queue,Plugins Older week,698
2021-06-14,Mail,New Conversations,245
2021-06-14,Mail,Resolved,202
2021-06-14,Mail,Resolved First Reply,25%
2021-06-21,Status,Plugins Requested,143
2021-06-21,Status,Plugins Rejected,6
2021-06-21,Status,Plugins Closed,48
2021-06-21,Status,Plugins Approved,41
2021-06-21,Queue,Plugins in Queue,824
2021-06-21,Queue,Plugins Older week,718
2021-06-21,Mail,New Conversations,252
2021-06-21,Mail,Resolved,210
2021-06-21,Mail,Resolved First Reply,26%
2021-06-28,Status,Plugins Requested,135
2021-06-28,Status,Plugins Rejected,105
2021-06-28,Status,Plugins Closed,52
2021-06-28,Status,Plugins Approved,32
2021-06-28,Queue,Plugins in Queue,759
2021-06-28,Queue,Plugins Older week,657
2021-06-28,Mail,New Conversations,249
2021-06-28,Mail,Resolved,191
2021-06-28,Mail,Resolved First Reply,30%
2021-07-05,Status,Plugins Requested,152
2021-07-05,Status,Plugins Rejected,8
2021-07-05,Status,Plugins Closed,76
2021-07-05,Status,Plugins Approved,48
2021-07-05,Queue,Plugins in Queue,846
2021-07-05,Queue,Plugins Older week,738
2021-07-05,Mail,New Conversations,287
2021-07-05,Mail,Resolved,243
2021-07-05,Mail,Resolved First Reply,29%
2021-07-12,Status,Plugins Requested,157
2021-07-12,Status,Plugins Rejected,9
2021-07-12,Status,Plugins Closed,128
2021-07-12,Status,Plugins Approved,43
2021-07-12,Queue,Plugins in Queue,821
2021-07-12,Queue,Plugins Older week,694
2021-07-12,Mail,New Conversations,681
2021-07-12,Mail,Resolved,288
2021-07-12,Mail,Resolved First Reply,38%
2021-07-19,Status,Plugins Requested,129
2021-07-19,Status,Plugins Rejected,9
2021-07-19,Status,Plugins Closed,63
2021-07-19,Status,Plugins Approved,38
2021-07-19,Queue,Plugins in Queue,792
2021-07-19,Queue,Plugins Older week,704
2021-07-19,Mail,New Conversations,464
2021-07-19,Mail,Resolved,199
2021-07-19,Mail,Resolved First Reply,32%
2021-07-26,Status,Plugins Requested,148
2021-07-26,Status,Plugins Rejected,9
2021-07-26,Status,Plugins Closed,370
2021-07-26,Status,Plugins Approved,47
2021-07-26,Queue,Plugins in Queue,835
2021-07-26,Queue,Plugins Older week,739
2021-07-26,Mail,New Conversations,286
2021-07-26,Mail,Resolved,229
2021-07-26,Mail,Resolved First Reply,31%
2021-08-02,Status,Plugins Requested,148
2021-08-02,Status,Plugins Rejected,115
2021-08-02,Status,Plugins Closed,29
2021-08-02,Status,Plugins Approved,51
2021-08-02,Queue,Plugins in Queue,749
2021-08-02,Queue,Plugins Older week,659
2021-08-02,Mail,New Conversations,226
2021-08-02,Mail,Resolved,194
2021-08-02,Mail,Resolved First Reply,23%
2021-08-09,Status,Plugins Requested,129
2021-08-09,Status,Plugins Rejected,13
2021-08-09,Status,Plugins Closed,48
2021-08-09,Status,Plugins Approved,38
2021-08-09,Queue,Plugins in Queue,770
2021-08-09,Queue,Plugins Older week,686
2021-08-09,Mail,New Conversations,256
2021-08-09,Mail,Resolved,220
2021-08-09,Mail,Resolved First Reply,29%
2021-08-16,Status,Plugins Requested,142
2021-08-16,Status,Plugins Rejected,6
2021-08-16,Status,Plugins Closed,83
2021-08-16,Status,Plugins Approved,41
2021-08-16,Queue,Plugins in Queue,798
2021-08-16,Queue,Plugins Older week,696
2021-08-16,Mail,New Conversations,279
2021-08-16,Mail,Resolved,214
2021-08-16,Mail,Resolved First Reply,27%
2021-08-23,Status,Plugins Requested,156
2021-08-23,Status,Plugins Rejected,15
2021-08-23,Status,Plugins Closed,26
2021-08-23,Status,Plugins Approved,52
2021-08-23,Queue,Plugins in Queue,824
2021-08-23,Queue,Plugins Older week,730
2021-08-23,Mail,New Conversations,234
2021-08-23,Mail,Resolved,198
2021-08-23,Mail,Resolved First Reply,23%
2021-08-30,Status,Plugins Requested,157
2021-08-30,Status,Plugins Rejected,113
2021-08-30,Status,Plugins Closed,62
2021-08-30,Status,Plugins Approved,57
2021-08-30,Queue,Plugins in Queue,781
2021-08-30,Queue,Plugins Older week,662
2021-08-30,Mail,New Conversations,266
2021-08-30,Mail,Resolved,208
2021-08-30,Mail,Resolved First Reply,18%
2021-09-06,Status,Plugins Requested,130
2021-09-06,Status,Plugins Rejected,11
2021-09-06,Status,Plugins Closed,18
2021-09-06,Status,Plugins Approved,50
2021-09-06,Queue,Plugins in Queue,780
2021-09-06,Queue,Plugins Older week,704
2021-09-06,Mail,New Conversations,210
2021-09-06,Mail,Resolved,207
2021-09-06,Mail,Resolved First Reply,22%
2021-09-13,Status,Plugins Requested,137
2021-09-13,Status,Plugins Rejected,12
2021-09-13,Status,Plugins Closed,102
2021-09-13,Status,Plugins Approved,38
2021-09-13,Queue,Plugins in Queue,817
2021-09-13,Queue,Plugins Older week,713
2021-09-13,Mail,New Conversations,286
2021-09-13,Mail,Resolved,178
2021-09-13,Mail,Resolved First Reply,29%
2021-09-20,Status,Plugins Requested,130
2021-09-20,Status,Plugins Rejected,12
2021-09-20,Status,Plugins Closed,15
2021-09-20,Status,Plugins Approved,30
2021-09-20,Plugins Queue,Plugins in Queue,846
2021-09-20,Plugins Queue,Plugins Older week,755
2021-09-20,Mail,New,189
2021-09-20,Mail,Resolved,198
2021-09-20,Mail,Resolved First Reply,21%
2021-09-27,Status,Plugins Requested,142
2021-09-27,Status,Plugins Rejected,13
2021-09-27,Status,Plugins Closed,88
2021-09-27,Status,Plugins Approved,56
2021-09-27,Plugins Queue,Plugins in Queue,894
2021-09-27,Plugins Queue,Plugins Older week,753
2021-09-27,Mail,New,253
2021-09-27,Mail,Resolved,217
2021-09-27,Mail,Resolved First Reply,33%
2021-10-04,Status,Plugins Requested,152
2021-10-04,Status,Plugins Rejected,142
2021-10-04,Status,Plugins Closed,42
2021-10-04,Status,Plugins Approved,42
2021-10-04,Plugins Queue,Plugins in Queue,766
2021-10-04,Plugins Queue,Plugins Older week,670
2021-10-04,Mail,New,267
2021-10-04,Mail,Resolved,215
2021-10-04,Mail,Resolved First Reply,35%
2021-10-11,Status,Plugins Requested,124
2021-10-11,Status,Plugins Rejected,3
2021-10-11,Status,Plugins Closed,63
2021-10-11,Status,Plugins Approved,44
2021-10-11,Plugins Queue,Plugins in Queue,760
2021-10-11,Plugins Queue,Plugins Older week,679
2021-10-11,Mail,New,331
2021-10-11,Mail,Resolved,245
2021-10-11,Mail,Resolved First Reply,29%
2021-10-18,Status,Plugins Requested,143
2021-10-18,Status,Plugins Rejected,12
2021-10-18,Status,Plugins Closed,63
2021-10-18,Status,Plugins Approved,54
2021-10-18,Plugins Queue,Plugins in Queue,778
2021-10-18,Plugins Queue,Plugins Older week,694
2021-10-18,Mail,New,320
2021-10-18,Mail,Resolved,269
2021-10-18,Mail,Resolved First Reply,35%
2021-10-25,Status,Plugins Requested,134
2021-10-25,Status,Plugins Rejected,8
2021-10-25,Status,Plugins Closed,38
2021-10-25,Status,Plugins Approved,67
2021-10-25,Plugins Queue,Plugins in Queue,789
2021-10-25,Plugins Queue,Plugins Older week,714
2021-10-25,Mail,New,235
2021-10-25,Mail,Resolved,239
2021-10-25,Mail,Resolved First Reply,25%
2021-11-01,Status,Plugins Requested,136
2021-11-01,Status,Plugins Rejected,103
2021-11-01,Status,Plugins Closed,35
2021-11-01,Status,Plugins Approved,66
2021-11-01,Plugins Queue,Plugins in Queue,734
2021-11-01,Plugins Queue,Plugins Older week,641
2021-11-01,Mail,New,228
2021-11-01,Mail,Resolved,186
2021-11-01,Mail,Resolved First Reply,31%
2021-11-08,Status,Plugins Requested,126
2021-11-08,Status,Plugins Rejected,6
2021-11-08,Status,Plugins Closed,16
2021-11-08,Status,Plugins Approved,32
2021-11-08,Plugins Queue,Plugins in Queue,774
2021-11-08,Plugins Queue,Plugins Older week,678
2021-11-08,Mail,New,208
2021-11-08,Mail,Resolved,210
2021-11-08,Mail,Resolved First Reply,20%
2021-11-15,Status,Plugins Requested,163
2021-11-15,Status,Plugins Rejected,20
2021-11-15,Status,Plugins Closed,15
2021-11-15,Status,Plugins Approved,62
2021-11-15,Plugins Queue,Plugins in Queue,781
2021-11-15,Plugins Queue,Plugins Older week,682
2021-11-15,Mail,New,278
2021-11-15,Mail,Resolved,258
2021-11-15,Mail,Resolved First Reply,31%
2021-11-22,Status,Plugins Requested,124
2021-11-22,Status,Plugins Rejected,10
2021-11-22,Status,Plugins Closed,30
2021-11-22,Status,Plugins Approved,41
2021-11-22,Plugins Queue,Plugins in Queue,800
2021-11-22,Plugins Queue,Plugins Older week,721
2021-11-22,Mail,New,229
2021-11-22,Mail,Resolved,215
2021-11-22,Mail,Resolved First Reply,28%
2021-11-29,Status,Plugins Requested,114
2021-11-29,Status,Plugins Rejected,14
2021-11-29,Status,Plugins Closed,28
2021-11-29,Status,Plugins Approved,29
2021-11-29,Plugins Queue,Plugins in Queue,824
2021-11-29,Plugins Queue,Plugins Older week,749
2021-11-29,Mail,New,199
2021-11-29,Mail,Resolved,186
2021-11-29,Mail,Resolved First Reply,25%
2021-12-06,Status,Plugins Requested,138
2021-12-06,Status,Plugins Rejected,88
2021-12-06,Status,Plugins Closed,68
2021-12-06,Status,Plugins Approved,56
2021-12-06,Plugins Queue,Plugins in Queue,729
2021-12-06,Plugins Queue,Plugins Older week,658
2021-12-06,Mail,New,277
2021-12-06,Mail,Resolved,222
2021-12-06,Mail,Resolved First Reply,28%
2021-12-13,Status,Plugins Requested,120
2021-12-13,Status,Plugins Rejected,14
2021-12-13,Status,Plugins Closed,25
2021-12-13,Status,Plugins Approved,46
2021-12-13,Plugins Queue,Plugins in Queue,728
2021-12-13,Plugins Queue,Plugins Older Week,667
2021-12-13,Mail,New,176
2021-12-13,Mail,Resolved,208
2021-12-13,Mail,Resolved First Reply,25%
2021-12-20,Status,Plugins Requested,118
2021-12-20,Status,Plugins Rejected,6
2021-12-20,Status,Plugins Closed,33
2021-12-20,Status,Plugins Approved,47
2021-12-20,Plugins Queue,Plugins in Queue,737
2021-12-20,Plugins Queue,Plugins Older Week,668
2021-12-20,Mail,New,178
2021-12-20,Mail,Resolved,180
2021-12-20,Mail,Resolved First Reply,22%
2021-12-27,Status,Plugins Requested,107
2021-12-27,Status,Plugins Rejected,4
2021-12-27,Status,Plugins Closed,28
2021-12-27,Status,Plugins Approved,47
2021-12-27,Plugins Queue,Plugins in Queue,750
2021-12-27,Plugins Queue,Plugins Older Week,692
2021-12-27,Mail,New,163
2021-12-27,Mail,Resolved,178
2021-12-27,Mail,Resolved First Reply,28%
